,cluster,source_id,tf_name,family_name,motif_type,PMID,cluster_annotation
69,AC0013,MA0788.1,POU3F3,Homeo domain factors,Unknown,9852081,Homeo domain factors/Homeo domain factors/High-mobility group (HMG) domain factors
70,AC0013,MA0789.1,POU3F4,Homeo domain factors,Unknown,2350782,Homeo domain factors/Homeo domain factors/High-mobility group (HMG) domain factors
71,AC0013,MA0792.1,POU5F1B,Homeo domain factors,Unknown,2350782,Homeo domain factors/Homeo domain factors/High-mobility group (HMG) domain factors
72,AC0013,MA1115.2,POU5F1,Homeo domain factors,Unknown,23747866,Homeo domain factors/Homeo domain factors/High-mobility group (HMG) domain factors
73,AC0013,MA1962.1,POU2F1::SOX2,Homeo domain factors/High-mobility group (HMG) domain factors,Unknown,29335749,Homeo domain factors/Homeo domain factors/High-mobility group (HMG) domain factors
74,AC0014,MA2334.1,ZNF547,C2H2 zinc finger factors,Unknown,28273063,C2H2 zinc finger factors
75,AC0015,MA0027.3,EN1,Homeo domain factors,Unknown,8096059,Homeo domain factors/Paired box factors
76,AC0015,MA0068.2,PAX4,Paired box factors,Unknown,10567552,Homeo domain factors/Paired box factors
77,AC0015,MA0075.4,PRRX2,Homeo domain factors,Unknown,7901837,Homeo domain factors/Paired box factors
78,AC0015,MA0132.3,PDX1,Homeo domain factors,Unknown,18585360,Homeo domain factors/Paired box factors
79,AC0015,MA0158.2,HOXA5,Homeo domain factors,Unknown,18585359,Homeo domain factors/Paired box factors
80,AC0015,MA0612.3,EMX1,Homeo domain factors,Unknown,25215497,Homeo domain factors/Paired box factors
