,cluster,source_id,tf_name,family_name,motif_type,PMID,cluster_annotation
598,AC0115,MA0842.3,NRL,Basic leucine zipper factors (bZIP),Unknown,8552602,Basic leucine zipper factors (bZIP)
599,AC0116,MA1726.2,ZNF331,C2H2 zinc finger factors,Unknown,27852650,C2H2 zinc finger factors
600,AC0117,MA2336.1,ZSCAN21,C2H2 zinc finger factors,Unknown,34351703,C2H2 zinc finger factors
601,AC0118,MA0610.2,DMRT3,DM-type intertwined zinc finger factors,Unknown,17605809,DM-type intertwined zinc finger factors
602,AC0118,MA1478.2,DMRTA2,DM-type intertwined zinc finger factors,Unknown,25215497,DM-type intertwined zinc finger factors
603,AC0118,MA1479.2,DMRTC2,DM-type intertwined zinc finger factors,Unknown,25215497,DM-type intertwined zinc finger factors
604,AC0118,MA1707.2,DMRTA1,DM-type intertwined zinc finger factors,Unknown,17605809,DM-type intertwined zinc finger factors
605,AC0119,MA1655.2,ZNF341,C2H2 zinc finger factors,Unknown,29907691,C2H2 zinc finger factors
606,AC0119,MA1725.2,ZNF189,C2H2 zinc finger factors,Unknown,27852650,C2H2 zinc finger factors
607,AC0120,MA2101.1,ZNF677,C2H2 zinc finger factors,Unknown,27852650,C2H2 zinc finger factors
608,AC0121,MA0056.3,MZF1,C2H2 zinc finger factors,Unknown,8114711,C2H2 zinc finger factors/Rel homology region (RHR) factors
609,AC0121,MA0105.4,NFKB1,Rel homology region (RHR) factors,Unknown,20066093,C2H2 zinc finger factors/Rel homology region (RHR) factors
610,AC0121,MA0778.2,NFKB2,Rel homology region (RHR) factors,Unknown,20066093,C2H2 zinc finger factors/Rel homology region (RHR) factors
611,AC0121,MA1117.2,RELB,Rel homology region (RHR) factors,Unknown,17996728,C2H2 zinc finger factors/Rel homology region (RHR) factors
612,AC0122,MA0119.1,NFIC::TLX1,SMAD/NF-1 DNA-binding domain factors/Homeo domain factors,Unknown,10327073,SMAD/NF-1 DNA-binding domain factors/Homeo domain factors/SMAD/NF-1 DNA-binding domain factors
613,AC0122,MA0161.3,NFIC,SMAD/NF-1 DNA-binding domain factors,Unknown,12101405,SMAD/NF-1 DNA-binding domain factors/Homeo domain factors/SMAD/NF-1 DNA-binding domain factors
614,AC0122,MA0670.2,NFIA,SMAD/NF-1 DNA-binding domain factors,Unknown,10085123,SMAD/NF-1 DNA-binding domain factors/Homeo domain factors/SMAD/NF-1 DNA-binding domain factors
615,AC0122,MA0671.2,NFIX,SMAD/NF-1 DNA-binding domain factors,Unknown,20178747,SMAD/NF-1 DNA-binding domain factors/Homeo domain factors/SMAD/NF-1 DNA-binding domain factors
616,AC0122,MA1527.2,NFIC,SMAD/NF-1 DNA-binding domain factors,Unknown,22456058,SMAD/NF-1 DNA-binding domain factors/Homeo domain factors/SMAD/NF-1 DNA-binding domain factors
617,AC0122,MA1528.2,NFIX,SMAD/NF-1 DNA-binding domain factors,Unknown,22456058,SMAD/NF-1 DNA-binding domain factors/Homeo domain factors/SMAD/NF-1 DNA-binding domain factors
618,AC0122,MA1643.2,NFIB,SMAD/NF-1 DNA-binding domain factors,Unknown,23332764,SMAD/NF-1 DNA-binding domain factors/Homeo domain factors/SMAD/NF-1 DNA-binding domain factors
619,AC0123,MA0486.2,HSF1,Heat shock factors,Unknown,17500587,Heat shock factors/C2H2 zinc finger factors
620,AC0123,MA0770.1,HSF2,Heat shock factors,Unknown,12027891,Heat shock factors/C2H2 zinc finger factors
621,AC0123,MA0771.1,HSF4,Heat shock factors,Unknown,25850300,Heat shock factors/C2H2 zinc finger factors
622,AC0123,MA1649.2,ZBTB12,C2H2 zinc finger factors,Unknown,19443739,Heat shock factors/C2H2 zinc finger factors
623,AC0124,MA1579.2,ZBTB26,C2H2 zinc finger factors,Unknown,28473536,C2H2 zinc finger factors
624,AC0125,MA0090.4,TEAD1,TEA domain factors,Unknown,23332764,TEA domain factors
625,AC0125,MA0808.1,TEAD3,TEA domain factors,Unknown,9571041,TEA domain factors
626,AC0125,MA0809.3,TEAD4,TEA domain factors,Unknown,23332764,TEA domain factors
627,AC0125,MA1121.2,TEAD2,TEA domain factors,Unknown,9571041,TEA domain factors
628,AC0126,MA1600.2,ZNF684,C2H2 zinc finger factors,Unknown,25690854,C2H2 zinc finger factors
629,AC0127,MA1544.2,OVOL1,C2H2 zinc finger factors,Unknown,26504231,C2H2 zinc finger factors
630,AC0127,MA1545.2,OVOL2,C2H2 zinc finger factors,Unknown,24735879,C2H2 zinc finger factors
631,AC0128,MA0776.1,MYBL1,Tryptophan cluster factors,Unknown,21998171,Tryptophan cluster factors
632,AC0129,MA0777.1,MYBL2,Tryptophan cluster factors,Unknown,21998171,Tryptophan cluster factors
633,AC0130,MA0748.3,YY2,C2H2 zinc finger factors,Unknown,23332764,C2H2 zinc finger factors
634,AC0130,MA1651.2,ZFP42,C2H2 zinc finger factors,Unknown,28473536,C2H2 zinc finger factors
635,AC0131,MA1654.2,ZNF16,C2H2 zinc finger factors,Unknown,27852650,C2H2 zinc finger factors
636,AC0132,MA1977.2,ZNF324,C2H2 zinc finger factors,Unknown,28273063,C2H2 zinc finger factors
637,AC0133,MA0106.3,TP53,p53 domain factors,Unknown,1588974,p53 domain factors
638,AC0133,MA0525.2,TP63,p53 domain factors,Unknown,17188034,p53 domain factors
639,AC0133,MA0861.2,TP73,p53 domain factors,Unknown,23243311,p53 domain factors
640,AC0134,MA0795.1,SMAD3,SMAD/NF-1 DNA-binding domain factors,Unknown,12582250,SMAD/NF-1 DNA-binding domain factors
641,AC0134,MA1557.1,SMAD5,SMAD/NF-1 DNA-binding domain factors,Unknown,11527422,SMAD/NF-1 DNA-binding domain factors
642,AC0135,MA1602.2,ZSCAN29,C2H2 zinc finger factors,Unknown,28473536,C2H2 zinc finger factors
