num_cnns,batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
5,96,0.00010,0.3,920,0.057541903,0.23987894,0.18732171,0.2631502112691392,0.5155777861146498,0.44165998886339786,0.057627067,0.24005638,0.18722793,0.26205960808266593,0.5138170628129671,0.44444211768372516,63,56
5,96,0.00050,0.3,920,0.05882862,0.24254611,0.1902628,0.2466732426380348,0.5057607353724041,0.43284258221124583,0.05794587,0.24071948,0.18753928,0.25797722935823486,0.512230654686525,0.435493338105531,9,8
5,96,0.00100,0.3,920,0.059027094,0.24295492,0.18934941,0.24413164853961145,0.5068477417683862,0.428690386911444,0.059027094,0.24295492,0.18934941,0.24413164853961145,0.5068477417683862,0.428690386911444,8,8
10,96,0.00010,0.3,920,0.057519503,0.23983224,0.1857325,0.26343700205417886,0.5183212354709932,0.4531903884029953,0.057519503,0.23983224,0.1857325,0.26343700205417886,0.5183212354709932,0.4531903884029953,44,44
10,96,0.00050,0.3,920,0.05765775,0.24012028,0.18518305,0.2616667752491777,0.5198766825502954,0.45000137401507617,0.05765775,0.24012028,0.18518305,0.2616667752491777,0.5198766825502954,0.45000137401507617,3,3
10,96,0.00100,0.3,920,0.059081342,0.24306653,0.18791597,0.24343696507924395,0.5164034062418595,0.445117930582616,0.059586585,0.24410364,0.18898474,0.23696714687162657,0.4996325654177748,0.43457662583788964,13,1
15,96,0.00010,0.3,920,0.057363085,0.23950592,0.1859462,0.2654400064277803,0.5224376483284869,0.44433071437573735,0.056577213,0.23785965,0.18511187,0.27550350250789046,0.5276414824776692,0.44709238398074125,48,38
15,96,0.00050,0.3,920,0.058678783,0.24223705,0.18847895,0.2485919608118745,0.5149609024506951,0.43866716034564146,0.058789108,0.24246465,0.18902671,0.24717913611288056,0.5052545953056836,0.42445288051950947,3,1
15,96,0.00100,0.3,920,0.0609066,0.24679263,0.19295388,0.22006377058195248,0.5052069206291067,0.43160786351337765,0.059994463,0.24493767,0.1898177,0.23174410819881675,0.5008391735088026,0.4291744972478899,3,0
20,96,0.00010,0.3,920,0.058324523,0.24150471,0.18793663,0.2531284385346826,0.5110343808751329,0.42773809110662153,0.058241718,0.2413332,0.18766057,0.2541887784000493,0.5116897604702905,0.4264863966451498,33,34
