CNN,Seed,tf1,tf2,tf3,tf4,tf5,tf6,tf7,tf8,tf9,tf10,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
65,291,AC0069(Pax4)-f51,AC0069(Pax4)-f24,AC0069(Pax4)-f53,AC0069(Pax4)-f27,AC0069(Pax4)-f47,AC0069(Pax4)-f40,AC0069(Pax4)-f3,AC0022(Yy1)-f8,AC0069(Pax4)-f7,AC0069(Pax4)-f54,0.22560574,0.21411024,0.2139843,0.21322288,0.21316874,0.211075,0.20416991,0.19623558,0.19147757,0.18556327
65,832,AC0069(Pax4)-f16,AC0069/AC0064/AC0026/AC0023(Pax4/Pparg::Rxra/Neurod2/Msgn1)-f54,AC0069(Pax4)-f13,AC0069(Pax4)-f26,AC0069(Pax4)-f15,AC0069/AC0033(Pax4/Hes1)-f41,AC0040(NR3C1)-f18,AC0069(Pax4)-f22,AC0069/AC0058/AC0064(Pax4/NR5A1/Pparg::Rxra)-f32,AC0069(Pax4)-f4,0.22144455,0.21283591,0.20426607,0.19074774,0.18696746,0.17837836,0.17176634,0.1694384,0.15026218,0.14639978
65,350,AC0069(Pax4)-f23,AC0069(Pax4)-f58,AC0069(Pax4)-f53,AC0069(Pax4)-f40,AC0069(Pax4)-f11,AC0069(Pax4)-f63,AC0069(Pax4)-f61,AC0069(Pax4)-f51,AC0069(Pax4)-f29,AC0069(Pax4)-f8,0.21878968,0.2137138,0.20845152,0.20643605,0.17882913,0.17867653,0.17839462,0.1773045,0.16989568,0.16268441
70,223,AC0047(Plagl1)-f17,AC0069/AC0063(Pax4/Lef1)-f22,AC0010(Nanog)-f53,AC0064/AC0069/AC0058(Pparg::Rxra/Pax4/NR5A1)-f14,AC0069(Pax4)-f11,AC0069(Pax4)-f39,AC0028(Prdm15)-f29,AC0069(Pax4)-f52,AC0069(Pax4)-f59,AC0064/AC0070(Pparg::Rxra/Wt1)-f24,0.2120078,0.20271207,0.19750421,0.19462988,0.18479612,0.1744954,0.17114012,0.16706423,0.15582694,0.15565245
70,276,AC0069/AC0072(Pax4/Nfat5)-f67,AC0069(Pax4)-f17,AC0069(Pax4)-f64,AC0069(Pax4)-f10,AC0069(Pax4)-f2,AC0069(Pax4)-f45,AC0069(Pax4)-f53,AC0069(Pax4)-f24,AC0069(Pax4)-f66,AC0069/AC0061(Pax4/Nr1h3::Rxra)-f50,0.21418765,0.20946826,0.20599921,0.19440284,0.1934758,0.17561203,0.17374916,0.17224365,0.17224167,0.17134337
70,291,AC0069(Pax4)-f14,AC0069(Pax4)-f0,AC0069(Pax4)-f3,AC0069(Pax4)-f25,AC0069(Pax4)-f46,AC0069/AC0012(Pax4/Lhx1)-f62,AC0069(Pax4)-f54,AC0069(Pax4)-f60,AC0069(Pax4)-f50,AC0069(Pax4)-f21,0.19485117,0.18185282,0.18016405,0.1756251,0.17477033,0.16135709,0.15529877,0.1446622,0.14427678,0.13476163
70,832,AC0069(Pax4)-f26,AC0069(Pax4)-f24,AC0069(Pax4)-f47,AC0069(Pax4)-f1,AC0026/AC0033/AC0047(Ptf1A/Arntl/Mitf/Plagl1)-f8,AC0069(Pax4)-f66,AC0069(Pax4)-f31,AC0069(Pax4)-f38,AC0069(Pax4)-f39,AC0012/AC0069(Lhx1/Pax4)-f3,0.20043476,0.18854226,0.18822137,0.17594479,0.17029993,0.16943723,0.16453263,0.15459144,0.15076973,0.15057975
70,350,AC0069(Pax4)-f36,AC0069(Pax4)-f63,AC0002(Stat2)-f29,AC0069(Pax4)-f49,AC0069/AC0068(Pax4/Pax5)-f18,AC0069(Pax4)-f2,AC0069(Pax4)-f50,AC0070(Wt1)-f68,AC0069/AC0058(Pax4/NR5A1)-f6,AC0069(Pax4)-f0,0.21935248,0.2167359,0.20883538,0.20387371,0.19411251,0.18876724,0.18303029,0.18083595,0.1745841,0.15273175
75,223,AC0069(Pax4)-f29,AC0069(Pax4)-f50,AC0069(Pax4)-f56,AC0069(Pax4)-f7,AC0069(Pax4)-f51,AC0069(Pax4)-f48,AC0069(Pax4)-f23,AC0069(Pax4)-f18,AC0022(Yy1)-f61,AC0069(Pax4)-f46,0.19029908,0.18730594,0.18155721,0.18023486,0.17127475,0.17071758,0.16908593,0.16818449,0.15713295,0.15100333
75,276,AC0012(Hoxd8)-f70,AC0069(Pax4)-f66,AC0069(Pax4)-f28,AC0069(Pax4)-f46,AC0028(Prdm15)-f41,AC0069(Pax4)-f29,AC0069(Pax4)-f48,AC0069(Pax4)-f47,AC0069(Pax4)-f55,AC0069/AC0039(Pax4/Gmeb1)-f17,0.2464342,0.19165449,0.17838162,0.17642242,0.1760164,0.17408256,0.15715152,0.15183021,0.1491242,0.14669664
75,291,AC0004(Sox2)-f61,AC0069(Pax4)-f48,AC0069/AC0012(Pax4/Lhx1)-f62,AC0064(Pparg::Rxra)-f74,AC0069(Pax4)-f54,AC0069(Pax4)-f27,AC0069(Pax4)-f36,AC0069(Pax4)-f28,AC0069(Pax4)-f24,AC0069(Pax4)-f42,0.20776942,0.2040828,0.18646345,0.17267613,0.17265344,0.17200209,0.16444461,0.15405208,0.15334314,0.15226956
75,832,AC0069(Pax4)-f27,AC0069(Pax4)-f13,AC0069(Pax4)-f33,AC0069/AC0058(Pax4/NR5A1)-f1,AC0028(Prdm15)-f40,AC0069(Pax4)-f49,AC0058(NR5A1)-f42,AC0069(Pax4)-f19,AC0069(Pax4)-f71,AC0059(ESR1)-f10,0.18893228,0.18683204,0.18452252,0.17311734,0.17163706,0.17099243,0.14303634,0.13845447,0.12954189,0.12953304
75,350,AC0069(Pax4)-f13,AC0069/AC0012(Pax4/Hoxd8)-f63,AC0069(Pax4)-f4,AC0069(Pax4)-f9,AC0069(Pax4)-f7,AC0069(Pax4)-f47,AC0026/AC0069(Neurod2/Pax4)-f24,AC0069(Pax4)-f26,AC0069(Pax4)-f22,AC0069(Pax4)-f55,0.19533049,0.18777691,0.17536205,0.17524964,0.17200543,0.1600602,0.15510355,0.15075564,0.14315686,0.13278845
