Name,R_Square
ba24_lr0.00010_seed44,0.31230670223044343
ba24_lr0.00100_seed44,0.3112453883852524
ba24_lr0.00500_seed44,0.32992734171026794
ba48_lr0.00010_seed44,0.24450118838081913
ba48_lr0.00100_seed44,0.10077859356705576
ba48_lr0.00500_seed44,0.22476589471792874
ba96_lr0.00010_seed44,0.07935726700555501
ba96_lr0.00100_seed44,-0.18826126374230423
ba96_lr0.00500_seed44,0.2913199458974117
ba168_lr0.00010_seed44,-0.010246852932716655
ba168_lr0.00100_seed44,0.3123536866035458
ba168_lr0.00500_seed44,0.177226309756087
ba288_lr0.00010_seed44,0.16698131691143703
ba288_lr0.00100_seed44,0.3096548731909281
ba288_lr0.00500_seed44,-1.0476020099162096
ba24_lr0.00010_seed234,0.3064763805383913
ba24_lr0.00100_seed234,0.2951372424186125
ba24_lr0.00500_seed234,0.28689541147182196
ba48_lr0.00010_seed234,0.20515734441571543
ba48_lr0.00100_seed234,0.2514761926320198
ba48_lr0.00500_seed234,0.17116235039136996
ba96_lr0.00010_seed234,0.3047205386181667
ba96_lr0.00100_seed234,0.2227816300203581
ba96_lr0.00500_seed234,0.04310474146459009
ba168_lr0.00010_seed234,-0.36625104884925097
ba168_lr0.00100_seed234,0.23446247946125454
ba168_lr0.00500_seed234,-7.1706556451763905
ba288_lr0.00010_seed234,-0.03639453676773696
ba288_lr0.00100_seed234,0.24796485577110794
ba288_lr0.00500_seed234,-1.2790114169259192
ba24_lr0.00010_seed90,0.2956553301123115
ba24_lr0.00100_seed90,0.3008492861414771
ba24_lr0.00500_seed90,0.251611033282059
ba48_lr0.00010_seed90,-0.08739424647119609
ba48_lr0.00100_seed90,0.26783027525455305
ba48_lr0.00500_seed90,0.31652327773960076
ba96_lr0.00010_seed90,0.3006576273495457
ba96_lr0.00100_seed90,0.15485714747705492
ba96_lr0.00500_seed90,-164.43385136029843
ba168_lr0.00010_seed90,0.08992334347204234
ba168_lr0.00100_seed90,0.2535688349316658
ba168_lr0.00500_seed90,-0.1353474316877592
ba288_lr0.00010_seed90,0.049795368759970704
ba288_lr0.00100_seed90,0.26715701714082507
ba288_lr0.00500_seed90,-1.4013797448792795
