batch,lr,drop_out,seed,mse,rmse,mae,r2,pearson_corr,spearman_corr
24,0.00006,0.1,44,0.053930145,0.23222865,0.19610617,-0.5113785930087758,0.5993083842006863,0.5780928224534686
24,0.00010,0.1,44,0.042854287,0.20701277,0.17019399,-0.20098050662040645,0.587869656160299,0.5692470092876952
24,0.00040,0.1,44,0.046626642,0.21593203,0.1785851,-0.30669986025383067,0.5974295589360237,0.5683736630395431
24,0.00006,0.3,44,0.049706437,0.2229494,0.1890157,-0.39301027615052364,0.622596613962143,0.5773345068562906
24,0.00010,0.3,44,0.05256684,0.2292746,0.19410439,-0.47317239739380734,0.6155320084124751,0.5824386172260654
24,0.00040,0.3,44,0.04552856,0.21337423,0.17773025,-0.2759262976792207,0.6111479354991667,0.5831751406069882
48,0.00006,0.1,44,0.04564106,0.21363768,0.17505722,-0.279079066832441,0.5802533080802317,0.5650479562277454
48,0.00010,0.1,44,0.046442784,0.21550588,0.17752309,-0.3015472203866554,0.593121285197005,0.5751472824261377
48,0.00040,0.1,44,0.04129595,0.20321405,0.16612862,-0.15730851868781381,0.5799421384267656,0.5592885329671352
48,0.00006,0.3,44,0.05117526,0.22621949,0.19240965,-0.4341736694987348,0.6191612643995754,0.5725290794101195
48,0.00010,0.3,44,0.04986601,0.22330698,0.18836372,-0.3974823279554245,0.6048344663515846,0.5712929373879116
48,0.00040,0.3,44,0.04451346,0.21098213,0.1743571,-0.24747831029148326,0.5927113877910385,0.5754727460685564
96,0.00006,0.1,44,0.04710091,0.21702744,0.18098328,-0.31999109786673263,0.6168132471106691,0.5875040438010127
96,0.00010,0.1,44,0.04979766,0.2231539,0.18455936,-0.39556691614884154,0.5916197812206975,0.5807303759065372
96,0.00040,0.1,44,0.052652426,0.22946116,0.19227651,-0.4755708946272734,0.5758678625535065,0.5595089148104501
96,0.00006,0.3,44,0.05013684,0.22391258,0.18992162,-0.405072138248997,0.6270657106623718,0.5878013736888387
96,0.00010,0.3,44,0.05190083,0.22781754,0.19269681,-0.45450746661824915,0.6207055915763425,0.5870683088727271
96,0.00040,0.3,44,0.052241024,0.22856295,0.19250342,-0.46404132252547914,0.6005501126997732,0.5717005896754104
168,0.00006,0.1,44,0.046652295,0.21599142,0.18075904,-0.3074187837320388,0.6219650693496845,0.5924110217233313
168,0.00010,0.1,44,0.051094856,0.22604172,0.18949771,-0.4319203751806633,0.5944418492419747,0.5707304094210071
168,0.00040,0.1,44,0.038830385,0.19705427,0.15921156,-0.08821173884943811,0.6018855379094114,0.5838441217374409
168,0.00006,0.3,44,0.045637704,0.21362983,0.17964919,-0.27898502825280813,0.6355836231562041,0.5972020175517117
168,0.00010,0.3,44,0.046898063,0.2165596,0.18104474,-0.31430634260763557,0.6213700705366577,0.5872476647705689
168,0.00040,0.3,44,0.03765455,0.1940478,0.15637745,-0.055259154891810214,0.6094634908557235,0.5833214188885979
288,0.00006,0.1,44,0.045561768,0.21345203,0.1778169,-0.2768570296769364,0.6149944960514413,0.592680669967661
288,0.00010,0.1,44,0.048958845,0.22126646,0.18456227,-0.3720591600309602,0.6097546020064256,0.5930428885180663
288,0.00040,0.1,44,0.053515732,0.23133467,0.19307192,-0.49976464649340735,0.5903903255562611,0.5771616485989428
288,0.00006,0.3,44,0.043276332,0.20802964,0.17447491,-0.21280810040291742,0.6390499221792193,0.6048117572649396
288,0.00010,0.3,44,0.047047053,0.21690333,0.18193556,-0.318481697533598,0.6212226853713774,0.5858467222558263
288,0.00040,0.3,44,0.056850836,0.23843414,0.20292503,-0.5932300985644858,0.5967976540479365,0.571708897427078
24,0.00006,0.1,234,0.023309495,0.15267448,0.11669437,0.17524818438210044,0.6100447367412123,0.5837871452099611
24,0.00010,0.1,234,0.024872912,0.15771149,0.12017885,0.11993031252581743,0.5887589214701596,0.5665239017975637
24,0.00040,0.1,234,0.026646327,0.16323702,0.124501675,0.057182140918665914,0.5820353699332564,0.5646912418230927
24,0.00006,0.3,234,0.021221407,0.14567569,0.111048825,0.24913027401567212,0.6096798406282783,0.5756770369113552
24,0.00010,0.3,234,0.023373894,0.15288523,0.11647606,0.1729694307306121,0.5923704363814306,0.5667934341667443
24,0.00040,0.3,234,0.026679091,0.16333735,0.12429214,0.05602289131549243,0.5759045719840314,0.5577485088548463
48,0.00006,0.1,234,0.023165448,0.152202,0.115324676,0.1803448675351249,0.5946041348711564,0.5660068814442096
48,0.00010,0.1,234,0.025002945,0.1581232,0.12007266,0.11532937902262153,0.5783688865175791,0.5620125425999927
48,0.00040,0.1,234,0.02361923,0.1536855,0.116566025,0.16428881922619631,0.5812276817582864,0.5579450976070215
48,0.00006,0.3,234,0.021383857,0.1462322,0.112250924,0.24338231001576027,0.6097094909795246,0.5699458402693964
48,0.00010,0.3,234,0.023804257,0.15428628,0.1189249,0.15774220040169828,0.6031285549470504,0.5631447810594856
48,0.00040,0.3,234,0.023793045,0.15424995,0.1179608,0.15813881108646966,0.5881429295751601,0.5651758046496924
96,0.00006,0.1,234,0.021732248,0.14741862,0.11177362,0.2310553500643997,0.5968268650599876,0.5704818374708839
96,0.00010,0.1,234,0.02416711,0.15545774,0.11837969,0.1449034657478233,0.5962255925210809,0.5678494164390145
96,0.00040,0.1,234,0.027846098,0.1668715,0.12913643,0.014731116909965203,0.5845106406378416,0.5691203213520855
96,0.00006,0.3,234,0.021908987,0.14801686,0.11389925,0.2248018396164616,0.6131598099250748,0.577744843289797
96,0.00010,0.3,234,0.022680542,0.1506006,0.11427674,0.19750211227233394,0.5959305606282355,0.5644464880330097
96,0.00040,0.3,234,0.022989467,0.15162277,0.11505304,0.18657160933197003,0.5862193448256646,0.5647186938839535
168,0.00006,0.1,234,0.02575104,0.1604713,0.123897344,0.08885986590444384,0.598872810067573,0.5767631652948103
168,0.00010,0.1,234,0.02559917,0.1599974,0.12156246,0.09423337048521285,0.5869692527383188,0.5698078813267802
168,0.00040,0.1,234,0.025499932,0.15968698,0.121114686,0.09774464087977719,0.5819319689718107,0.5647369644868874
168,0.00006,0.3,234,0.021129046,0.14535834,0.111238085,0.25239821829056486,0.6176619526286455,0.581268502733046
168,0.00010,0.3,234,0.021904461,0.14800155,0.113328464,0.2249619920237873,0.6036288508628533,0.5755294494608829
168,0.00040,0.3,234,0.02272536,0.15074933,0.11412899,0.19591635630299453,0.5841523150182659,0.5572213122002315
288,0.00006,0.1,234,0.023202213,0.15232272,0.11665216,0.17904401010228754,0.6067021279105587,0.5817474937474718
288,0.00010,0.1,234,0.024430431,0.15630238,0.11950957,0.13558640027852908,0.585210497796397,0.5688417036026622
288,0.00040,0.1,234,0.02373519,0.15406229,0.11742261,0.16018596831189824,0.5797759100936608,0.5551594230055238
288,0.00006,0.3,234,0.020082248,0.14171185,0.10793663,0.2894366999775292,0.6239393913259081,0.5863691668675826
288,0.00010,0.3,234,0.021983786,0.1482693,0.11200907,0.2221552847044136,0.5989700744699333,0.5720019571142201
288,0.00040,0.3,234,0.022531185,0.15010391,0.11448676,0.20278679007038558,0.5844152098993964,0.560057028641467
24,0.00006,0.1,90,0.048989676,0.22133611,0.17942007,-0.06246955534269194,0.6016881107149226,0.5796416239688489
24,0.00010,0.1,90,0.06836428,0.26146564,0.21901934,-0.4826587296770122,0.5829620599487038,0.5615119176000171
24,0.00040,0.1,90,0.056163684,0.23698878,0.19426492,-0.2180567120752248,0.5839326339683446,0.5622401744845642
24,0.00006,0.3,90,0.052773338,0.22972448,0.18949555,-0.14452817185050226,0.6160651464641497,0.5859970807987114
24,0.00010,0.3,90,0.065055095,0.255059,0.21385057,-0.4108903818134142,0.5942558130543969,0.5611533593695089
24,0.00040,0.3,90,0.054447766,0.23334046,0.1915742,-0.18084254664196497,0.5895977897627398,0.5692360071238218
48,0.00006,0.1,90,0.05227399,0.22863506,0.18752861,-0.13369851125989363,0.6063459068091221,0.5794571295474746
48,0.00010,0.1,90,0.06187424,0.24874534,0.20707417,-0.3419051008419034,0.6015147743513716,0.5790141698334064
48,0.00040,0.1,90,0.051929638,0.22788075,0.18532406,-0.12623033107607373,0.5906696706922715,0.5695718441373406
48,0.00006,0.3,90,0.06059743,0.24616545,0.20594245,-0.31421409410259393,0.601402300729887,0.5752095783079609
48,0.00010,0.3,90,0.062810704,0.25062063,0.20864703,-0.36221482062555066,0.5933787555029617,0.5732528453372943
48,0.00040,0.3,90,0.0481825,0.21950512,0.1774821,-0.04496387576174565,0.592000544296087,0.5770171666875233
96,0.00006,0.1,90,0.05331528,0.23090102,0.19021326,-0.15628169837831307,0.6109853298984451,0.5849956818989299
96,0.00010,0.1,90,0.057973247,0.24077635,0.19996358,-0.25730180005219716,0.6011425929708125,0.5791772240985977
96,0.00040,0.1,90,0.047605865,0.21818767,0.17585574,-0.03245802023032529,0.5906184539969914,0.5736389384933923
96,0.00006,0.3,90,0.05423034,0.23287408,0.19269997,-0.17612707478688994,0.6152494313568828,0.5843212157331518
96,0.00010,0.3,90,0.05538456,0.23533925,0.19472966,-0.20115944181767498,0.6094629761304416,0.5792028126807889
96,0.00040,0.3,90,0.062076867,0.2491523,0.20684339,-0.34629965842808685,0.5866853747684491,0.5615964347263904
168,0.00006,0.1,90,0.055061117,0.23465106,0.19445907,-0.1941446099577222,0.6181634988416083,0.5931417734163734
168,0.00010,0.1,90,0.056287415,0.23724969,0.19585067,-0.22074025700934796,0.6000139478229203,0.5785370774659876
168,0.00040,0.1,90,0.053632386,0.23158666,0.18911976,-0.16315892834992463,0.5889089415722386,0.5688227145587905
168,0.00006,0.3,90,0.056176186,0.23701516,0.19692284,-0.2183278874515906,0.6205481881048304,0.5876612906506774
168,0.00010,0.3,90,0.059542604,0.24401353,0.20361269,-0.2913374149969483,0.6083228783590887,0.5804668443782145
168,0.00040,0.3,90,0.061110273,0.24720491,0.20646335,-0.3253365691653136,0.6018387177870668,0.5710659535886068
288,0.00006,0.1,90,0.053027883,0.23027784,0.18955752,-0.1500486560036347,0.6156279787836948,0.5945210400947631
288,0.00010,0.1,90,0.051817164,0.22763383,0.18581186,-0.12379103352479537,0.5933205865175862,0.5758717756937266
288,0.00040,0.1,90,0.048391506,0.2199807,0.17764793,-0.0494966590942465,0.5877587624744645,0.5653676566513723
288,0.00006,0.3,90,0.05297533,0.23016371,0.19013065,-0.1489090091042966,0.6255244257063142,0.5955729500410379
288,0.00010,0.3,90,0.056217395,0.23710208,0.19677645,-0.21922159275977604,0.6069890560806281,0.5867685810083376
288,0.00040,0.3,90,0.05591669,0.2364671,0.1954285,-0.21270001180009657,0.5976337291006433,0.5726047164390972
24,0.00006,0.1,500,0.11958222,0.34580663,0.31082034,-1.6939152137035447,0.5875028019784958,0.5658229315277972
24,0.00010,0.1,500,0.12609443,0.35509777,0.3190803,-1.840620637768498,0.5725960033304524,0.5571707072770391
24,0.00040,0.1,500,0.12556724,0.35435468,0.31758448,-1.828744278591378,0.5658764453026408,0.5548618858980162
24,0.00006,0.3,500,0.12496654,0.35350606,0.31906828,-1.8152117579661846,0.5927526307655694,0.5652518532925002
24,0.00010,0.3,500,0.12482706,0.35330874,0.3180327,-1.8120692736300215,0.5774319962708889,0.5587418855754159
24,0.00040,0.3,500,0.12783122,0.35753492,0.3222407,-1.8797466718880411,0.5759024633075178,0.5634651221095102
48,0.00006,0.1,500,0.121036135,0.34790248,0.3138434,-1.7266686659365247,0.600704124185598,0.5742020615092484
48,0.00010,0.1,500,0.12060364,0.34728035,0.31134525,-1.7169256663211656,0.5810398702584778,0.561304980022623
48,0.00040,0.1,500,0.10973534,0.33126324,0.29413697,-1.4720875463788108,0.5731420608866967,0.5570581987348675
48,0.00006,0.3,500,0.1283146,0.35821027,0.32429934,-1.8906360416581243,0.5944924351020615,0.5662513559169124
48,0.00010,0.3,500,0.1246113,0.35300326,0.31777394,-1.8072088789597758,0.5800049907025707,0.5606601135544497
48,0.00040,0.3,500,0.13834393,0.37194613,0.33774483,-2.116573592390959,0.5791220944859928,0.5573354757698449
96,0.00006,0.1,500,0.12597853,0.35493454,0.32007337,-1.838009393312129,0.5909692206593354,0.5742622691142028
96,0.00010,0.1,500,0.1276172,0.3572355,0.32111016,-1.8749251417155421,0.5744606603731047,0.55873392086395
96,0.00040,0.1,500,0.13098298,0.3619157,0.3261466,-1.9507485976487824,0.5733134744777448,0.5562270188198289
96,0.00006,0.3,500,0.12321731,0.35102323,0.31741688,-1.7758054450574132,0.6103102397620598,0.5804116664187036
96,0.00010,0.3,500,0.12544909,0.35418794,0.31880108,-1.8260827040857448,0.5822288260244577,0.5624420157003893
96,0.00040,0.3,500,0.11602475,0.34062406,0.30531913,-1.613773577171835,0.5861924896571099,0.5676097498591068
168,0.00006,0.1,500,0.12558751,0.3543833,0.3201058,-1.8292004275455689,0.5957557258551391,0.5762074820691394
168,0.00010,0.1,500,0.12623903,0.35530132,0.31949157,-1.8438780828487271,0.5738249084423415,0.560678935420914
168,0.00040,0.1,500,0.123877525,0.3519624,0.31628627,-1.7906786796316014,0.581486843165109,0.566049203163922
168,0.00006,0.3,500,0.11801925,0.3435393,0.31016952,-1.65870531228324,0.6237297331549981,0.5962413131642521
168,0.00010,0.3,500,0.12843764,0.358382,0.32410377,-1.8934076252969212,0.5951314075802386,0.571057323787821
168,0.00040,0.3,500,0.11403683,0.3376934,0.30218732,-1.5689900052795909,0.5787414036524637,0.5595533570498786
288,0.00006,0.1,500,0.12726006,0.3567353,0.32340097,-1.866879509731484,0.6103282614100379,0.5868816513122803
288,0.00010,0.1,500,0.11452487,0.33841524,0.30315802,-1.5799846633846428,0.5943268761036951,0.5771806524547639
288,0.00040,0.1,500,0.1254174,0.35414317,0.3181402,-1.8253682979236334,0.5748794904758744,0.5617415427645822
288,0.00006,0.3,500,0.12775299,0.3574255,0.32539907,-1.877983770294788,0.6325824971224833,0.6055553855221769
288,0.00010,0.3,500,0.11763848,0.34298468,0.3089212,-1.6501272745808517,0.6070696402026878,0.583372445772717
288,0.00040,0.3,500,0.13147423,0.36259374,0.32761946,-1.9618151679651081,0.5801626566190099,0.5634343165910866
24,0.00006,0.1,293,0.043287504,0.2080565,0.17304832,-0.33358386920253635,0.6022349479500125,0.5777116747025097
24,0.00010,0.1,293,0.04409997,0.20999993,0.17329478,-0.3586140100869142,0.586501423416577,0.5626837149353195
24,0.00040,0.1,293,0.044105954,0.21001418,0.17185889,-0.35879828269888026,0.579767810785013,0.562639564883148
24,0.00006,0.3,293,0.04309869,0.20760225,0.1719937,-0.32776692093249227,0.5969033667075425,0.5722953073691556
24,0.00010,0.3,293,0.04254172,0.20625645,0.16945899,-0.31060794363494737,0.5951579294078514,0.5697530567007154
24,0.00040,0.3,293,0.041275315,0.20316327,0.1669929,-0.2715931201556072,0.5992168744718923,0.5832755695810216
48,0.00006,0.1,293,0.0342481,0.18506242,0.14919554,-0.055101518148116035,0.5981203072986951,0.5741216970178308
48,0.00010,0.1,293,0.03729077,0.19310819,0.15526512,-0.14883880688384266,0.5793624911251511,0.5613301357997789
48,0.00040,0.1,293,0.048660353,0.22059092,0.18323538,-0.49910840063907647,0.5886135853280847,0.5665591841987971
48,0.00006,0.3,293,0.036662392,0.19147426,0.15679088,-0.12948008818964296,0.6042520381982874,0.5800560716058021
48,0.00010,0.3,293,0.051885217,0.22778326,0.19244988,-0.5984586417426219,0.5965405379703754,0.5738272506644445
48,0.00040,0.3,293,0.047318544,0.21752825,0.18161996,-0.45777053912379095,0.5905682107503816,0.5722108575570999
96,0.00006,0.1,293,0.042731933,0.20671704,0.17129311,-0.31646793744550017,0.6154412494660827,0.5978579803493393
96,0.00010,0.1,293,0.045055702,0.21226329,0.17700016,-0.3880577511189365,0.6036238879918303,0.5832652930687191
96,0.00040,0.1,293,0.05468903,0.23385686,0.19800705,-0.6848374219769127,0.5806021554709335,0.5654561442492391
96,0.00006,0.3,293,0.04090466,0.202249,0.1679576,-0.26017408435098965,0.6184440184521147,0.59742829527992
96,0.00010,0.3,293,0.0429056,0.20713666,0.17117414,-0.32181821818314504,0.6130848451714912,0.5877626709469452
96,0.00040,0.3,293,0.049656954,0.2228384,0.18642104,-0.5298111277831632,0.5929249921169715,0.5731655195912262
168,0.00006,0.1,293,0.0393087,0.19826423,0.1629422,-0.21100643587529033,0.6186445628013464,0.5996536776611235
168,0.00010,0.1,293,0.043914218,0.20955719,0.17332388,-0.35289135187447274,0.6008894148422789,0.5823210650551214
168,0.00040,0.1,293,0.032479398,0.18022041,0.14243902,-0.0006120403379978878,0.5983953949579754,0.5691517775417135
168,0.00006,0.3,293,0.036799066,0.19183083,0.15760398,-0.13369059846261488,0.6182788326839562,0.5928520971413803
168,0.00010,0.3,293,0.04044688,0.2011141,0.16555311,-0.24607098892253432,0.6120970317659866,0.5859640766904951
168,0.00040,0.3,293,0.050975762,0.22577813,0.18786901,-0.5704405256971106,0.574929632313389,0.5551968590540677
288,0.00006,0.1,293,0.039034776,0.1975722,0.16191557,-0.20256740762420522,0.6102647632816278,0.5910792531915001
288,0.00010,0.1,293,0.038438562,0.19605754,0.15880501,-0.18419963620563573,0.5993545384037546,0.5818234712533753
288,0.00040,0.1,293,0.040481802,0.2012009,0.1633257,-0.2471469041035359,0.5916857538866345,0.5740169406855409
288,0.00006,0.3,293,0.037894472,0.19466503,0.16128983,-0.1674373964425564,0.6252189872344167,0.6037529471757562
288,0.00010,0.3,293,0.03795612,0.1948233,0.15902534,-0.1693366827142324,0.6113392557040035,0.58938412187213
288,0.00040,0.3,293,0.035643686,0.18879536,0.15215167,-0.0980961100722264,0.5930714670632407,0.5742071040744818
