batch,lr,seed,mse,rmse,mae,r2,pearson_corr,spearman_corr
24,0.00100,293,0.009447254,0.09719699,0.079788886,-0.1641887118972709,0.592740613338434,0.567220250172781
48,0.00006,293,0.0077525987,0.088048846,0.070744984,0.04464434466279743,0.5972707370330212,0.5667533514844619
48,0.00010,293,0.007982869,0.0893469,0.07183634,0.01626820150620123,0.5830646384024012,0.5451268756840731
48,0.00040,293,0.011786429,0.10856532,0.09034106,-0.4524461419677839,0.57387476156971,0.5438682489087504
48,0.00100,293,0.009785763,0.09892301,0.08070245,-0.20590312534688238,0.5740033772166886,0.5473354951286786
96,0.00006,293,0.009069601,0.09523445,0.07796195,-0.11765030861539327,0.595210931379512,0.5700850734428392
96,0.00010,293,0.009445971,0.09719039,0.07948734,-0.16403050025667687,0.5970212760457093,0.5717964323325104
96,0.00040,293,0.010771436,0.10378553,0.08603894,-0.32736796217041153,0.5796796351944731,0.5487142722055832
96,0.00100,293,0.01156732,0.10755148,0.089893535,-0.4254452212439803,0.5690915070283852,0.5474930816931817
168,0.00006,293,0.008568402,0.09256566,0.074647464,-0.05588747483838841,0.5689196266844871,0.5490491993142264
168,0.00010,293,0.009166592,0.09574232,0.07846759,-0.1296024837939327,0.5899589417230802,0.5650993378327152
168,0.00040,293,0.009210699,0.09597239,0.07879676,-0.1350378799509553,0.5947562927502581,0.5671144931362537
168,0.00100,293,0.008236606,0.090755746,0.07328066,-0.014999961573409992,0.5947095155633833,0.5690204877410349
288,0.00006,293,0.009167084,0.095744886,0.07829748,-0.1296631570457849,0.5754078489585432,0.5548914783256955
288,0.00010,293,0.009796664,0.0989781,0.081515886,-0.2072465795441849,0.6046625956172045,0.5796793974513852
288,0.00040,293,0.009677692,0.09837526,0.08061071,-0.19258567975117957,0.590232939097691,0.5676951895018186
288,0.00100,293,0.0076978933,0.08773764,0.06940477,0.051385703722420906,0.5791820192807882,0.5521836415988065
