num_cnns,batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_r,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,best_pearson_epoch,best_r2_epoch
150,96,0.00010,0.3,544,0.050694443,0.22515427,0.16873577,0.35238880706864095,0.6177012,0.5940609637747103,0.050694443,0.22515427,0.16873577,0.35238880706864095,0.6177012,51,51
150,96,0.00030,0.3,544,0.05372886,0.23179486,0.17622367,0.3136247562244069,0.60415643,0.5832382426619492,0.053592555,0.23150066,0.17363131,0.3153660700455587,0.60163987,16,25
160,96,0.00010,0.3,544,0.05241198,0.22893663,0.17273973,0.3304475788317899,0.61138403,0.587297945314091,0.051805962,0.22760923,0.17103952,0.3381893744754272,0.6101831,49,51
160,96,0.00030,0.3,544,0.0538703,0.23209977,0.17607303,0.31181788610571703,0.60544276,0.5764485011401262,0.053743422,0.23182628,0.17501736,0.31343871643722643,0.60119164,16,10
170,96,0.00010,0.3,544,0.054996744,0.23451385,0.17739812,0.29742781150630915,0.6148934,0.5834611392200812,0.053073898,0.23037773,0.17269967,0.3219917589245499,0.6092562,69,57
170,96,0.00030,0.3,544,0.055682734,0.2359719,0.17920016,0.288664444643694,0.60257757,0.5790229657027983,0.05404546,0.2324768,0.17541987,0.30958026312136233,0.60029256,16,10
180,96,0.00010,0.3,544,0.053857375,0.23207192,0.1746863,0.3119829946272997,0.61335003,0.5853946617324273,0.052110836,0.22827798,0.17181829,0.3342947149494341,0.61091566,58,57
180,96,0.00030,0.3,544,0.054625724,0.23372146,0.1777903,0.30216753136493235,0.6021821,0.5808272501812699,0.053879537,0.23211966,0.1754202,0.3116999322250381,0.60047245,16,25
190,96,0.00010,0.3,544,0.05216711,0.2284012,0.17144847,0.333575858221803,0.6135014,0.5909957795557145,0.05216711,0.2284012,0.17144847,0.333575858221803,0.6135014,51,51
190,96,0.00030,0.3,544,0.053707257,0.23174827,0.17483464,0.3139007863775537,0.60349005,0.5817970902424838,0.053707257,0.23174827,0.17483464,0.3139007863775537,0.60349005,10,10
200,96,0.00010,0.3,544,0.05548349,0.23554933,0.17793313,0.2912096919268805,0.6130156,0.580392815407694,0.053085174,0.2304022,0.17330614,0.3218477314766688,0.6030619,69,61
200,96,0.00030,0.3,544,0.05609983,0.23685402,0.1805817,0.2833361191671441,0.6061398,0.5745442996377442,0.05511712,0.23477036,0.17650588,0.29589003447988016,0.5953568,16,25
210,96,0.00010,0.3,544,0.055161763,0.23486541,0.17734922,0.29531973430912983,0.61234516,0.5879458509599681,0.052439693,0.22899714,0.17146774,0.33009358297987723,0.60867167,69,61
210,96,0.00030,0.3,544,0.054785755,0.23406357,0.17628251,0.3001231436944345,0.6039771,0.5736231552234762,0.054754246,0.23399626,0.17732108,0.30052567612734427,0.5933404,10,7
220,96,0.00010,0.3,544,0.057230357,0.23922867,0.18168661,0.26889386953513417,0.60996693,0.5825795403218519,0.054494735,0.23344107,0.17640023,0.30384083810151385,0.60891056,69,59
220,96,0.00030,0.3,544,0.056034192,0.23671542,0.17982998,0.28417459342139484,0.60853857,0.5800383680625572,0.05549292,0.23556936,0.1770307,0.291089242764464,0.5996612,16,25
230,96,0.00010,0.3,544,0.056307077,0.23729113,0.17968836,0.28068857081484555,0.6043891,0.5811699632821803,0.0541529,0.23270775,0.17592679,0.3082077833821315,0.59979516,49,61
230,96,0.00030,0.3,544,0.055592164,0.23577991,0.17809,0.2898213843608015,0.59817237,0.5783960036752861,0.055592164,0.23577991,0.17809,0.2898213843608015,0.59817237,10,10
240,96,0.00010,0.3,544,0.056536075,0.23777317,0.17911199,0.27776314787312606,0.60641015,0.5683092918433449,0.054527197,0.2335106,0.17602208,0.3034261738645885,0.59565794,51,61
