batch,lr,drop_out,seed,mse,rmse,mae,r2,pearson_corr,spearman_corr
24,0.00006,0.1,44,0.009535142,0.097648054,0.08012247,-0.06887964318740258,0.6174349170364485,0.5794413717347165
24,0.00010,0.1,44,0.010743443,0.10365058,0.08457237,-0.20432898241920894,0.6004494040136765,0.5789675685361553
24,0.00040,0.1,44,0.010072925,0.10036396,0.0809818,-0.12916464821837903,0.5794355847558574,0.5538304352481012
24,0.00006,0.3,44,0.0066764713,0.081709675,0.06345977,0.2515743524804974,0.6102723109284772,0.5751622470288955
24,0.00010,0.3,44,0.007915127,0.088967,0.0704525,0.11272222481518712,0.6120815461841205,0.5815517724930942
24,0.00040,0.3,44,0.009658074,0.0982755,0.080816336,-0.08266022825823782,0.6237257512793033,0.5894570597141879
48,0.00006,0.1,44,0.009799012,0.098989956,0.08110202,-0.09845923527688583,0.609829984938684,0.5761464786155673
48,0.00010,0.1,44,0.009890408,0.09945053,0.080264136,-0.10870459586139947,0.5924026205076605,0.5781427753396199
48,0.00040,0.1,44,0.0148077635,0.12168715,0.102227986,-0.6599352475930931,0.5679283967458664,0.5567730801320838
48,0.00006,0.3,44,0.005746073,0.075802855,0.05776703,0.3558710087508544,0.6214823897497771,0.5856216448397344
48,0.00010,0.3,44,0.0071322154,0.08445244,0.06616746,0.20048589016739504,0.610706759762792,0.5817657741668425
48,0.00040,0.3,44,0.011641907,0.10789767,0.089019045,-0.30504594086190817,0.5904592450336529,0.5658519900154215
96,0.00006,0.1,44,0.009329171,0.096587636,0.07807643,-0.0457905665861249,0.6087637259313451,0.5880664950972853
96,0.00010,0.1,44,0.009850689,0.09925064,0.0802776,-0.10425230893835624,0.6019111163082627,0.5829423522991829
96,0.00040,0.1,44,0.0103382105,0.10167699,0.08230924,-0.15890279585180944,0.5722596388995971,0.5556870595031225
96,0.00006,0.3,44,0.005576163,0.07467371,0.056624528,0.3749177959739183,0.6213475393907586,0.5909751282758278
96,0.00010,0.3,44,0.006730092,0.082037136,0.06344719,0.24556350550263262,0.6173140861928248,0.5911204643139771
96,0.00040,0.3,44,0.008463832,0.091999084,0.07310609,0.05121307186926627,0.5981669738934517,0.5640206854039594
168,0.00006,0.1,44,0.0080370065,0.08964935,0.07150396,0.09905974614977742,0.6244200513528921,0.6016630649691493
168,0.00010,0.1,44,0.010086494,0.10043154,0.0818003,-0.13068572594428907,0.5877710853356697,0.5672384195799341
168,0.00040,0.1,44,0.012108037,0.11003653,0.09130422,-0.3572987237792309,0.594809187841425,0.5758416195496066
168,0.00006,0.3,44,0.0054597678,0.07389024,0.05531064,0.38796562778569676,0.629136304602214,0.5955168149103314
168,0.00010,0.3,44,0.0058787,0.07667268,0.05853903,0.34100368067564957,0.6321142082462547,0.6061924244063435
168,0.00040,0.3,44,0.009696227,0.09846942,0.08004016,-0.08693707761101876,0.6173631565741615,0.5886118965853198
288,0.00006,0.1,44,0.008496208,0.09217488,0.07436817,0.04758377238353828,0.6238617527473864,0.5974644331241511
288,0.00010,0.1,44,0.010425856,0.102107085,0.08342164,-0.16872784056699697,0.6083827322315092,0.5904249553296067
288,0.00040,0.1,44,0.011251916,0.10607505,0.0872428,-0.26132828742684855,0.5952655875247562,0.5783059064258734
288,0.00006,0.3,44,0.005376705,0.07332602,0.055008847,0.39727684988767575,0.6333017141217612,0.6102727621739349
288,0.00010,0.3,44,0.006019302,0.07758416,0.05900765,0.3252423116636527,0.6217170237386507,0.5975167337404709
288,0.00040,0.3,44,0.009282222,0.09634429,0.077339485,-0.040527588836005046,0.5761823850260464,0.5500369128686445
24,0.00006,0.1,234,0.0065258928,0.080782995,0.062402975,0.07638632827413683,0.5968009148021418,0.5679728592178725
24,0.00010,0.1,234,0.006645232,0.08151829,0.06261913,0.05949610208501277,0.5650492407490919,0.5463653387233542
24,0.00040,0.1,234,0.006980618,0.083550096,0.06420285,0.012028771100433877,0.5642831508391504,0.5421030674126027
24,0.00006,0.3,234,0.0074948557,0.08657283,0.06823389,-0.06075160140940605,0.6052576968423959,0.5778754149245882
24,0.00010,0.3,234,0.008146106,0.09025578,0.071672566,-0.15292343716243884,0.5860014452163494,0.5671170001614753
24,0.00040,0.3,234,0.008177776,0.09043106,0.07255648,-0.1574057732643679,0.5814609774900925,0.556216078058423
48,0.00006,0.1,234,0.006039564,0.07771463,0.060172003,0.1452167923756501,0.6075131975214585,0.5725783272836814
48,0.00010,0.1,234,0.0059159095,0.07691495,0.058661163,0.16271765388269366,0.5923772515855406,0.5669555949988718
48,0.00040,0.1,234,0.006769466,0.08227677,0.063281156,0.04191317304644604,0.5738310594542055,0.5497305411032544
48,0.00006,0.3,234,0.011025361,0.10500172,0.08683578,-0.5604262697525868,0.5983331378016399,0.5709601403452313
48,0.00010,0.3,234,0.00883835,0.0940125,0.075007394,-0.25089722231713796,0.5840609588316614,0.5691042872885882
48,0.00040,0.3,234,0.008690382,0.09322222,0.07418791,-0.22995529130980885,0.5728009572525332,0.5510926611708226
96,0.00006,0.1,234,0.0077859946,0.088238284,0.06959983,-0.10195670958986103,0.6013519456772431,0.5773342399028855
96,0.00010,0.1,234,0.007510933,0.08666564,0.06798761,-0.06302702070905508,0.5864001617064569,0.5655207471909376
96,0.00040,0.1,234,0.0066591357,0.08160353,0.0632815,0.05752844077835628,0.5866915139357114,0.5539082694784846
96,0.00006,0.3,234,0.0126680145,0.11255228,0.0958588,-0.7929121180100671,0.6217821138231533,0.5854688736245983
96,0.00010,0.3,234,0.008763782,0.09361507,0.07398212,-0.24034361795526205,0.5968770342780845,0.577359508184486
96,0.00040,0.3,234,0.0076820618,0.08764737,0.067923166,-0.08724709172450917,0.5801497408063115,0.5603442123238791
168,0.00006,0.1,234,0.007966294,0.089254096,0.07123115,-0.12747462561816358,0.5903242340171811,0.5700577448739693
168,0.00010,0.1,234,0.0069169546,0.08316823,0.064651065,0.021039075711436928,0.5978644431070747,0.5719078634868524
168,0.00040,0.1,234,0.008072247,0.08984568,0.07096611,-0.14247008824060492,0.5847987826763109,0.5666610960655845
168,0.00006,0.3,234,0.014631825,0.120962076,0.105113156,-1.0708512249157218,0.6216072301680204,0.5864499571025681
168,0.00010,0.3,234,0.0097745415,0.098866284,0.080449,-0.3833969345370205,0.6038603025528614,0.5766013135342404
168,0.00040,0.3,234,0.00796086,0.08922365,0.06949446,-0.12670542750858438,0.5738940638533726,0.5535297108281654
288,0.00006,0.1,234,0.007026745,0.083825685,0.06587321,0.005500274788923898,0.6142222275409522,0.5894593379266828
288,0.00010,0.1,234,0.009328249,0.09658286,0.07739285,-0.32023285551765635,0.5806660239545246,0.5637366273553512
288,0.00040,0.1,234,0.0060884072,0.07802825,0.059233148,0.1383039346914613,0.581010084732567,0.557561106970315
288,0.00006,0.3,234,0.013550663,0.11640732,0.09995235,-0.9178338260149093,0.6113916119020882,0.5741921212156627
288,0.00010,0.3,234,0.01349016,0.116147146,0.09911279,-0.909270908756078,0.6145751179189956,0.5841107370747834
288,0.00040,0.3,234,0.008025833,0.08958702,0.07018316,-0.13590111077042621,0.5719973099603202,0.5565561670762588
24,0.00006,0.1,90,0.015012769,0.12252661,0.102211505,-0.3023650103794695,0.5967390955425662,0.5637199088067067
24,0.00010,0.1,90,0.01171658,0.10824315,0.08659079,-0.01641903953899093,0.5860634647333498,0.5706445480205387
24,0.00040,0.1,90,0.014214638,0.11922515,0.09767402,-0.23312672082270458,0.5755501780662662,0.5526666247982012
24,0.00006,0.3,90,0.008400368,0.09165352,0.0709795,0.2712640058981859,0.60678664593638,0.5720366194377576
24,0.00010,0.3,90,0.010469566,0.102320895,0.0815677,0.09176002194600918,0.6030043155935639,0.5697534329027532
24,0.00040,0.3,90,0.01331682,0.115398526,0.09476252,-0.1552406977019638,0.60777196412364,0.5751275287305948
48,0.00006,0.1,90,0.010154062,0.10076737,0.08003184,0.11913015668472016,0.6145863859123659,0.5856255926369107
48,0.00010,0.1,90,0.013105423,0.11447892,0.093371086,-0.1369017973668516,0.6054179854210455,0.5796627767156659
48,0.00040,0.1,90,0.01280593,0.11316329,0.09123774,-0.11092073922151746,0.5670197565985469,0.5440770030220164
48,0.00006,0.3,90,0.008158391,0.09032381,0.06977423,0.29225563547289113,0.611406362499428,0.57704170442745
48,0.00010,0.3,90,0.009585698,0.09790658,0.076884694,0.16843600247344637,0.6108836887469132,0.5805474875061641
48,0.00040,0.3,90,0.010061239,0.10030573,0.07882493,0.1271826161199744,0.5688738241971691,0.5401187113014349
96,0.00006,0.1,90,0.012241364,0.1106407,0.08972175,-0.061944435526762875,0.5965959654423625,0.5760923529298086
96,0.00010,0.1,90,0.0104650855,0.102299,0.08094369,0.09214875137640266,0.5901243776506142,0.5738394471870695
96,0.00040,0.1,90,0.0119468,0.10930142,0.08735266,-0.03639081530130306,0.5878735689862409,0.5673325632911426
96,0.00006,0.3,90,0.00728549,0.08535508,0.06483203,0.3679801794785601,0.6210996125593059,0.5949799062524073
96,0.00010,0.3,90,0.008008634,0.08949097,0.06858135,0.30524713816864546,0.6067488908474163,0.5838118105439885
96,0.00040,0.3,90,0.009727098,0.098626055,0.07733052,0.15616945071089527,0.5949213395417895,0.5720467613681627
168,0.00006,0.1,90,0.010022909,0.10011448,0.079891056,0.13050769999515033,0.6229195548962791,0.5992994023469146
168,0.00010,0.1,90,0.01105951,0.1051642,0.08413727,0.04058205811968052,0.5985045169234583,0.5795520913032
168,0.00040,0.1,90,0.0139493095,0.11810719,0.09671504,-0.2101095042554859,0.5988522403661634,0.57811742734607
168,0.00006,0.3,90,0.0072948965,0.08541016,0.064720765,0.3671641295817023,0.6179166532399705,0.5918501590517568
168,0.00010,0.3,90,0.008825229,0.09394269,0.07294472,0.2344071236318105,0.5963981768015836,0.573760242045331
168,0.00040,0.3,90,0.011554803,0.10749327,0.086288415,-0.0023847164348487215,0.6019138910236244,0.5785907820322402
288,0.00006,0.1,90,0.010827481,0.10405518,0.0829773,0.06071070346898455,0.6016837290570072,0.5805927255411344
288,0.00010,0.1,90,0.011730537,0.1083076,0.08726326,-0.017629819961613835,0.604311452768284,0.5812308623329292
288,0.00040,0.1,90,0.013458787,0.116012014,0.09495879,-0.16755635124745427,0.5768861501630793,0.5550248637328525
288,0.00006,0.3,90,0.007043457,0.08392531,0.06331572,0.3889766745229637,0.6277601692133894,0.5973107337243755
288,0.00010,0.3,90,0.007259863,0.08520483,0.06433271,0.3702033654755582,0.6177275824664126,0.5919535597209211
288,0.00040,0.3,90,0.010866845,0.10424416,0.08292531,0.0572960088144534,0.593047973336414,0.563749022497834
24,0.00006,0.1,500,0.024801413,0.15748464,0.13938454,-1.234877675208983,0.5961943064560056,0.5718388335453097
24,0.00010,0.1,500,0.026329573,0.1622639,0.14367865,-1.3725813879495385,0.5785187930507625,0.5591655189420011
24,0.00040,0.1,500,0.03622434,0.19032693,0.17275372,-2.2642074401098946,0.5653040527979736,0.5412396558272542
24,0.00006,0.3,500,0.016847935,0.12979959,0.11051628,-0.5181824773558059,0.603982762151959,0.5731831725366153
24,0.00010,0.3,500,0.023205556,0.1523337,0.13371037,-1.0910732799274796,0.5892701520486331,0.5617738584184778
24,0.00040,0.3,500,0.02759335,0.16611247,0.14863056,-1.4864613987366782,0.600419862216771,0.576554842057612
48,0.00006,0.1,500,0.0276085,0.16615807,0.14807129,-1.4878268300384332,0.5885983504978973,0.5725676772582968
48,0.00010,0.1,500,0.030380499,0.17430003,0.1558595,-1.7376136975261751,0.5662958741798606,0.5513302332367187
48,0.00040,0.1,500,0.026349356,0.16232485,0.14295603,-1.3743640838804803,0.5597260942916724,0.5436710903930174
48,0.00006,0.3,500,0.014805277,0.12167694,0.101949185,-0.33411667127964106,0.6141190694154071,0.5902690969497513
48,0.00010,0.3,500,0.019950232,0.14124529,0.122165374,-0.7977331265190402,0.6007817895481108,0.575432301882552
48,0.00040,0.3,500,0.027139118,0.16473955,0.14640044,-1.4455299779715403,0.5783671585721071,0.5562071730735976
96,0.00006,0.1,500,0.026910342,0.16404372,0.1462215,-1.4249151262979165,0.6003737597673326,0.57092067163781
96,0.00010,0.1,500,0.02634381,0.16230775,0.14443476,-1.3738641515736836,0.5981068570926922,0.5780515141215754
96,0.00040,0.1,500,0.028601782,0.16912061,0.1505396,-1.5773321437717511,0.5612373052166827,0.541200224682702
